# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.06,1,0,-42.9,-2.8,-45.6,19.1,47,4
0.12,1,0,-44.3,-2.5,-46.9,17.9,48.3,3.9
0.18,1,0,-44.3,-1.5,-46.9,18.3,51.2,3.5
0.25,1,0,-42.8,-1.8,-47.7,20.2,51.9,4.6
0.31,1,0,-42.8,-1.8,-47.7,25.1,55.8,4.3
0.37,1,0,-42.8,-1.8,-47.7,18.5,47.9,3.9
0.44,1,0,-43.1,-3,-46.6,25.1,49.9,4.4
0.5,1,0,-45.1,-3.6,-45.6,18.2,11.6,5.1
0.56,1,1,-45.9,-10.5,-41.7,16.1,8.6,5.5
0.62,1,3,-38.9,-5.5,-41.7,8.4,8,7.2
0.68,1,1,-38.9,-5.5,-41.7,7,8.6,6.6
0.75,1,0,-37.2,-2.2,-41.9,7.2,12.9,4.8
0.81,1,3,-36.3,-1.2,-42,8.4,11.9,4.7
0.87,1,3,-38.7,-3.7,-41.9,8.8,10.9,3.7
0.93,1,1,-40.2,-7.6,-42.2,7.6,10.5,4
1,1,1,-40.2,-7.6,-42.2,5.5,10,3.3
1.06,1,1,-32.9,-3.9,-41,4.7,9.6,3.9
1.12,1,3,-30.2,-3,-37.8,5.9,9.5,4.8
1.19,1,3,-31.1,-0.4,-38.7,4.5,9.8,5.7
1.25,1,3,-29.2,-0.3,-36.3,4.9,8.7,5.9
1.31,1,3,-30.8,-3.1,-34.7,5.5,8.4,6.9
1.37,1,3,-29.3,-3.1,-32.1,6,7.9,7.1
1.43,1,3,-29.3,1.2,-38.7,4.4,12.5,4
1.5,1,3,-31.7,-0.7,-40.1,4.5,11.4,4.6
1.56,1,3,-32.7,1.8,-41.1,4.8,12.3,3.8
1.62,1,3,-32.7,1.8,-41.1,4.4,11.2,4.2
1.69,1,3,-34.7,-0.7,-41.9,4.4,11.7,3.8
1.75,1,3,-33.2,-3,-39.6,5,11.4,3.5
1.81,1,3,-34.2,-4.2,-38.1,5.2,10.3,3.2
1.87,1,1,-34.1,-5.1,-41.3,4.5,10.5,3.4
1.94,1,1,-34.1,-5.1,-41.3,4.9,9.8,3.7
2,1,3,-34.1,-3.9,-39.8,5.1,10.2,4.2
2.06,1,3,-34.2,-3,-40.8,5.2,11.1,3.6
2.13,1,3,-35.1,-5.1,-41.3,6.5,11.1,3.2
2.19,1,3,-34.1,-3.6,-39.2,6.1,10.7,2.7
2.25,1,3,-34.1,-3.6,-39.2,6.1,10.6,2.7
2.32,1,3,-35.1,-2.1,-39.8,6.1,11,3.2
2.38,1,1,-37.2,-5.2,-39.6,6.3,10.6,3
2.44,1,1,-36,-4.2,-41.9,5.9,10.2,2.9
2.51,1,1,-36.5,-4.9,-41.9,6.2,10.8,3.1
2.57,1,1,-38.4,-4.8,-43.1,6.6,11.1,3.3
2.63,1,3,-38.3,-6.1,-42.9,8,11.5,2.9
2.69,1,3,-36.5,-4.9,-42.2,7.5,11.3,3.4
2.75,1,3,-36.8,-4.2,-42.6,8.2,11.7,3.3
2.82,1,1,-36.8,-4.2,-42.6,9.1,11,3.2
2.88,1,1,-36.8,-4.2,-42.6,9.9,11.7,3.7
2.94,1,0,-39.6,-4.8,-43.1,10.3,12.6,3.7
3,1,0,-40.7,-2.8,-45.3,11.9,17.7,2.4
3.07,1,0,-40.2,-5.2,-43.4,16.1,16.8,3.1
3.13,1,3,-40.2,-5.2,-43.4,19.1,17.7,3.5
3.19,1,0,-41.3,-6.1,-45.1,19.5,19.4,3.8
3.26,1,0,-40.4,-5.5,-44.6,16.8,19.5,4
3.32,1,3,-41.1,-5.5,-43.8,18.8,11.4,3.9
3.38,1,3,-41.9,-10.5,-41.3,17,8.8,4.1
3.45,1,0,-43.8,-10.6,-43.7,13.5,11.3,4.1
3.51,1,1,-43.8,-10.6,-43.7,10,8.5,4
3.57,1,1,-47.5,-11.8,-43.7,11.6,8.9,4.1
3.64,1,1,-43.5,-12.6,-40.4,12.7,8.7,4.4
3.7,1,1,-38.3,-10.6,-42.6,12.8,9.5,3.8
3.76,1,1,-38.3,-10.6,-42.6,11.4,9.7,3.7
3.82,1,0,-35.4,-4.5,-43.4,12.9,12.6,2.8
3.89,1,0,-35,-5.7,-41.4,10.3,13.4,2.6
3.95,1,0,-40.2,-4.2,-45.1,8.6,11.3,3.6
4.01,1,1,-39.5,-6.9,-41.4,7.6,8.3,3.7
4.08,1,0,-35.7,1,-42.9,8.4,11.8,3.6
4.14,1,0,-35.7,1,-42.9,7.1,11.3,3.3
4.2,1,3,-31.1,-2.8,-37.7,9,10.3,3.5
4.26,1,3,-28.9,-1.6,-37.2,9.1,11.9,3.4
4.33,1,0,-29.2,-1.5,-36.8,9,10,3.8
4.39,1,3,-28.1,-3.9,-33.6,7.6,9.3,3.8
4.45,1,3,-28.9,-3.6,-35.4,7.8,8.9,3.7
4.51,1,3,-26.5,-0.7,-35,10.6,8.5,3.6
4.58,1,3,-26.5,-0.7,-35,12.1,8,3.1
4.64,1,0,-26.6,-1.2,-33.6,8.8,10.5,1.9
4.7,1,3,-25,3,-35,8.5,10.3,3
4.76,1,3,-24.1,4.3,-34.4,9.3,9.5,2.8
4.83,1,3,-24.2,0,-30.9,9.6,9.7,3.3
4.89,1,0,-26.9,6.4,-33.5,7.4,13.4,2.3
4.95,1,0,-27.4,0.9,-35.1,6,12.5,2.8
5.01,1,1,-26.5,-2.5,-33.8,2.4,10,3.3
5.08,1,0,-24.8,0.4,-34.4,2.8,12.3,2.8
5.14,1,3,-25.7,1.5,-32.3,2.5,13.3,2.6
5.2,1,3,-25.7,1.5,-32.3,2.2,13.7,2.5
5.26,1,3,-23.2,4.9,-32.3,4,15,2.2
5.33,1,3,-23.8,4.3,-29.6,4.3,14.4,2.5
5.39,1,3,-22.4,4.9,-28.7,5.7,14.3,2.6
5.45,1,3,-21.7,3.7,-29.8,3.9,14.5,2.2
5.51,1,3,-21.7,3.7,-29.8,3.6,14,2.1
5.57,1,3,-22.3,3.6,-29.3,4.4,13.6,2.4
5.64,1,3,-22.3,3.6,-29.3,4.5,13.9,2.6
5.7,1,3,-23.3,1.2,-27.1,7.9,13.1,2.8
5.76,1,3,-20.9,1,-26.5,120,12.9,3.3
5.83,1,3,-20.9,1,-26.5,11.9,13.6,2.9
5.89,1,3,-20.5,2.8,-25.3,120,14.6,3.1
5.95,1,3,-21.4,4.2,-21.8,120,14.6,3.1
6.01,1,3,-21.8,3.1,-23.8,120,14.2,2.6
6.07,1,3,-21.8,3.1,-23.8,120,13.5,3.1
6.14,1,5,-21.5,9,-19.7,9.6,18.1,2.7
6.2,1,5,-20.6,11.8,-21.4,7.4,22.6,2.2
6.26,1,5,-20.6,11.8,-21.4,4.5,120,2.9
6.32,1,5,-22.1,13.8,-26.2,5,120,2.2
6.38,1,5,-20.5,14.7,-23,4.4,120,2.5
6.45,1,5,-21.1,14.4,-19.7,4.2,120,2.4
6.51,1,5,-19,13.2,-21.2,5.4,0,2.9
6.57,1,5,-20.5,12.4,-17.6,5.8,120,2.6
6.64,1,5,-20.5,12.4,-17.6,4.5,120,2.5
6.7,1,5,-20.6,13.8,-13.8,2.8,120,2.5
6.76,1,5,-23.6,13.8,-10.9,3.2,19.5,2
6.82,1,5,-24.1,12.4,-3,120,120,2.7
